PMT Name	Voltage   Gain		Operating Voltage
0235		1122	  962368	1135
0753		1144	  762178	1280
0155		1202	  1390291	1210
0082		1040	  1027473	1100
0216		1166	  662927	1300
0170		1160	  1013208	1240
054		1112	  1209057	1112
0061		1090	  812813	1160
0066		1134	  837925	1180
0140		1114	  1098290	1220
0239		1090	  1021456	1210
0305		1164	  748626	1240
0386		1066	  1075769	1066
0393		1088	  1104219	1190
0446		1144	  1062648	0
0483		1078	  925201	1220
0552		1         0		1145
0566		1160	  887153	1220
0911		1282	  795560	1282
0953		1126	  712868	1200
1004		1344	  680934	1344
0057            1         0             1310
